"año";"sector";"unidad_de_medida";"total";"co2";"ch4";"n2o";"otros_gei"
"2013";"Energia";"MtCO2e";"201.71";"177.83";"22.77";"1.11";"0.00"

"2013";"Procesos industriales y uso de productos";"MtCO2e";"19.30";"16.92";"0.14";"0.07";"2.17"

"2013";"Agricultura y Ganaderia";"MtCO2e";"96.57";"0.85";"77.71";"18.00";"0.00"

"2013";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"91.19";"85.34";"4.50";"1.34";"0.00"

"2013";"Residuos";"MtCO2e";"19.53";"0.03";"18.72";"0.78";"0.00"

"2014";"Energia";"MtCO2e";"198.54";"174.88";"22.57";"1.10";"0.00"

"2014";"Procesos industriales y uso de productos";"MtCO2e";"20.78";"17.10";"0.15";"0.07";"3.45"

"2014";"Agricultura y Ganaderia";"MtCO2e";"98.22";"0.90";"78.72";"18.59";"0.00"

"2014";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"62.18";"57.21";"3.68";"1.29";"0.00"

"2014";"Residuos";"MtCO2e";"20.16";"0.03";"19.36";"0.77";"0.00"

"2015";"Energia";"MtCO2e";"204.55";"180.25";"23.18";"1.12";"0.00"

"2015";"Procesos industriales y uso de productos";"MtCO2e";"21.53";"17.04";"0.15";"0.06";"4.28"

"2015";"Agricultura y Ganaderia";"MtCO2e";"96.97";"0.70";"78.58";"17.69";"0.00"

"2015";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"40.41";"36.61";"2.84";"0.96";"0.00"

"2015";"Residuos";"MtCO2e";"20.76";"0.03";"19.90";"0.82";"0.00"

"2016";"Energia";"MtCO2e";"205.13";"180.35";"23.65";"1.12";"0.00"

"2016";"Procesos industriales y uso de productos";"MtCO2e";"19.92";"14.94";"0.16";"0.04";"4.78"

"2016";"Agricultura y Ganaderia";"MtCO2e";"98.76";"1.04";"78.46";"19.26";"0.00"

"2016";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"34.11";"29.69";"3.20";"1.21";"0.00"

"2016";"Residuos";"MtCO2e";"21.22";"0.03";"20.36";"0.82";"0.00"

"2017";"Energia";"MtCO2e";"199.36";"174.89";"23.30";"1.18";"0.00"

"2017";"Procesos industriales y uso de productos";"MtCO2e";"21.37";"15.84";"0.15";"0.06";"5.31"

"2017";"Agricultura y Ganaderia";"MtCO2e";"101.03";"1.09";"80.23";"19.71";"0.00"

"2017";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"43.48";"36.12";"5.37";"2.00";"0.00"

"2017";"Residuos";"MtCO2e";"21.60";"0.03";"20.73";"0.84";"0.00"

"2018";"Energia";"MtCO2e";"197.83";"172.31";"24.32";"1.19";"0.00"

"2018";"Procesos industriales y uso de productos";"MtCO2e";"21.80";"16.07";"0.15";"0.06";"5.53"

"2018";"Agricultura y Ganaderia";"MtCO2e";"102.13";"1.34";"80.52";"20.27";"0.00"

"2018";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"42.47";"37.31";"3.71";"1.45";"0.00"

"2018";"Residuos";"MtCO2e";"22.04";"0.03";"21.14";"0.87";"0.00"

"2019";"Energia";"MtCO2e";"189.17";"162.92";"25.07";"1.18";"0.00"

"2019";"Procesos industriales y uso de productos";"MtCO2e";"20.78";"14.72";"0.12";"0.05";"5.89"

"2019";"Agricultura y Ganaderia";"MtCO2e";"103.56";"1.50";"80.42";"21.63";"0.00"

"2019";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"10.90";"7.79";"2.35";"0.76";"0.00"

"2019";"Residuos";"MtCO2e";"22.59";"0.03";"21.47";"1.09";"0.00"

"2020";"Energia";"MtCO2e";"173.70";"149.73";"22.94";"1.03";"0.00"

"2020";"Procesos industriales y uso de productos";"MtCO2e";"19.11";"13.02";"0.14";"0.05";"5.90"

"2020";"Agricultura y Ganaderia";"MtCO2e";"103.70";"1.69";"79.67";"22.35";"0.00"

"2020";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"73.82";"67.88";"4.51";"1.43";"0.00"

"2020";"Residuos";"MtCO2e";"22.63";"0.03";"21.66";"0.93";"0.00"

"2021";"Energia";"MtCO2e";"192.90";"168.17";"23.55";"1.18";"0.00"

"2021";"Procesos industriales y uso de productos";"MtCO2e";"22.13";"15.51";"0.14";"0.10";"6.39"

"2021";"Agricultura y Ganaderia";"MtCO2e";"104.45";"1.85";"79.36";"23.24";"0.00"

"2021";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"55.89";"51.81";"3.10";"0.98";"0.00"

"2021";"Residuos";"MtCO2e";"22.98";"0.03";"21.99";"0.96";"0.00"

"2022";"Energia";"MtCO2e";"200.37";"174.05";"25.11";"1.21";"0.00"

"2022";"Procesos industriales y uso de productos";"MtCO2e";"23.64";"16.71";"0.15";"0.17";"6.61"

"2022";"Agricultura y Ganaderia";"MtCO2e";"102.19";"1.61";"78.61";"21.97";"0.00"

"2022";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"51.40";"47.03";"3.21";"1.16";"0.00"

"2022";"Residuos";"MtCO2e";"23.31";"0.04";"22.34";"0.94";"0.00"
